min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.6,0.7,0.25,edge,8,3.0,4.5,True,0.07980566065434763,0.10365730384995997,-0.047703286391224675,22,0.36363636363636365,2.535042150537569
0.25,0.6,0.7,0.25,edge,8,3.5,4.5,True,0.07980566065434763,0.10365730384995997,-0.047703286391224675,22,0.36363636363636365,2.535042150537569
0.25,0.6,0.75,0.25,mid,8,3.0,4.0,True,0.07851733915856973,0.11787213844988731,-0.07870959858263515,64,0.25,1.4542642434195339
0.25,0.6,0.75,0.25,mid,8,3.5,4.0,True,0.07851733915856973,0.11787213844988731,-0.07870959858263515,64,0.25,1.4542642434195339
0.3,0.6,0.75,0.25,edge,6,3.0,4.0,True,0.07723087025876402,0.09834106069995507,-0.042220380882382114,27,0.2962962962962963,1.8801225711299665
0.3,0.6,0.75,0.25,edge,6,3.5,4.0,True,0.07723087025876402,0.09834106069995507,-0.042220380882382114,27,0.2962962962962963,1.8801225711299665
0.25,0.6,0.75,0.25,mid,8,3.0,4.5,True,0.07642963865700186,0.1101314146749004,-0.06740355203579707,60,0.25,1.4450226420019008
0.25,0.6,0.75,0.25,mid,8,3.5,4.5,True,0.07642963865700186,0.1101314146749004,-0.06740355203579707,60,0.25,1.4450226420019008
0.25,0.55,0.75,0.25,edge,8,3.5,4.5,True,0.07624836010262576,0.1004642545499288,-0.04843178889460609,51,0.2549019607843137,1.4907748998964363
0.25,0.55,0.75,0.25,edge,8,3.0,4.5,True,0.07624836010262576,0.1004642545499288,-0.04843178889460609,51,0.2549019607843137,1.4907748998964363
0.25,0.6,0.7,0.2,edge,8,3.5,4.0,True,0.07618174448702175,0.1003157679499398,-0.04826804692583608,28,0.32142857142857145,2.096336530484054
0.25,0.6,0.7,0.2,edge,8,3.0,4.0,True,0.07618174448702175,0.1003157679499398,-0.04826804692583608,28,0.32142857142857145,2.096336530484054
0.25,0.6,0.7,0.25,edge,8,3.0,4.0,True,0.07324903025432278,0.09710067344993512,-0.047703286391224675,28,0.32142857142857145,2.064798044482603
0.25,0.6,0.7,0.25,edge,8,3.5,4.0,True,0.07324903025432278,0.09710067344993512,-0.047703286391224675,28,0.32142857142857145,2.064798044482603
0.3,0.55,0.7,0.2,mid,8,3.0,4.0,True,0.07317460632460071,0.10344420202490712,-0.06053919140061281,75,0.26666666666666666,1.3529474812153535
0.3,0.55,0.7,0.2,mid,8,3.5,4.0,True,0.07317460632460071,0.10344420202490712,-0.06053919140061281,75,0.26666666666666666,1.3529474812153535
0.3,0.55,0.7,0.25,mid,8,3.5,4.0,True,0.06847662456322212,0.09850760062489461,-0.060061952123344975,75,0.26666666666666666,1.3372923013062987
0.3,0.55,0.7,0.25,mid,8,3.0,4.0,True,0.06847662456322212,0.09850760062489461,-0.060061952123344975,75,0.26666666666666666,1.3372923013062987
0.25,0.55,0.75,0.2,mid,6,3.0,4.5,True,0.06773422316180894,0.10580254167490266,-0.07613663702618745,76,0.25,1.3482899140373867
0.25,0.55,0.75,0.2,mid,6,3.5,4.5,True,0.06773422316180894,0.10580254167490266,-0.07613663702618745,76,0.25,1.3482899140373867
0.3,0.55,0.7,0.2,mid,8,3.0,4.5,True,0.06498496964961398,0.09525456534992038,-0.06053919140061281,72,0.2638888888888889,1.3391903468658897
0.3,0.55,0.7,0.2,mid,8,3.5,4.5,True,0.06498496964961398,0.09525456534992038,-0.06053919140061281,72,0.2638888888888889,1.3391903468658897
0.25,0.55,0.75,0.25,mid,6,3.5,4.5,True,0.0622211832176916,0.1000051301748881,-0.075567893914393,76,0.25,1.3304415836141765
0.25,0.55,0.75,0.25,mid,6,3.0,4.5,True,0.0622211832176916,0.1000051301748881,-0.075567893914393,76,0.25,1.3304415836141765
0.3,0.55,0.7,0.25,mid,8,3.5,4.5,True,0.060838308538235464,0.09086928459990795,-0.060061952123344975,72,0.2638888888888889,1.3246332197362662
0.3,0.55,0.7,0.25,mid,8,3.0,4.5,True,0.060838308538235464,0.09086928459990795,-0.060061952123344975,72,0.2638888888888889,1.3246332197362662
0.25,0.55,0.75,0.2,mid,6,3.0,4.0,True,0.054210802786800405,0.09227912129989413,-0.07613663702618745,79,0.24050632911392406,1.292978191168613
0.25,0.55,0.75,0.2,mid,6,3.5,4.0,True,0.054210802786800405,0.09227912129989413,-0.07613663702618745,79,0.24050632911392406,1.292978191168613
0.25,0.6,0.7,0.2,edge,6,3.5,4.5,True,0.05351272308704724,0.07764674654996528,-0.04826804692583608,21,0.3333333333333333,2.0707497500416028
0.25,0.6,0.7,0.2,edge,6,3.0,4.5,True,0.05351272308704724,0.07764674654996528,-0.04826804692583608,21,0.3333333333333333,2.0707497500416028
0.25,0.6,0.75,0.2,mid,6,3.5,4.5,True,0.052392547428351144,0.08644348329992346,-0.06810187174314464,53,0.24528301886792453,1.3868254515784906
0.25,0.6,0.75,0.2,mid,6,3.0,4.5,True,0.052392547428351144,0.08644348329992346,-0.06810187174314464,53,0.24528301886792453,1.3868254515784906
0.25,0.6,0.7,0.25,edge,6,3.0,4.5,True,0.05137027400434918,0.07522191719996152,-0.047703286391224675,21,0.3333333333333333,2.0398217046763154
0.25,0.6,0.7,0.25,edge,6,3.5,4.5,True,0.05137027400434918,0.07522191719996152,-0.047703286391224675,21,0.3333333333333333,2.0398217046763154
0.25,0.6,0.7,0.2,mid,8,3.0,4.5,True,0.04969349729774303,0.0764602591249397,-0.053533523654393345,46,0.2608695652173913,1.4123947384028281
0.25,0.6,0.7,0.2,mid,8,3.5,4.5,True,0.04969349729774303,0.0764602591249397,-0.053533523654393345,46,0.2608695652173913,1.4123947384028281
0.3,0.55,0.75,0.2,edge,6,3.5,4.0,True,0.04966767528320415,0.0743783178999533,-0.04942128523349831,41,0.24390243902439024,1.437876892473634
0.3,0.55,0.75,0.2,edge,6,3.0,4.0,True,0.04966767528320415,0.0743783178999533,-0.04942128523349831,41,0.24390243902439024,1.437876892473634
0.25,0.55,0.75,0.25,mid,6,3.5,4.0,True,0.048835857242683745,0.08661980419988025,-0.075567893914393,79,0.24050632911392406,1.276077038592584
