min_gap,rr_target,fib_lower,fib_upper,session_start_hour_utc,session_end_hour_utc,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,3.0,0.618,0.79,7,20,0.005,-0.41629196539094,-0.2536235673755248,-0.3253367960308303,324,0.2345679012345679,0.7868125858636181
0.1,2.0,0.5,0.79,8,20,0.0075,-0.4169182457043177,-0.23742671990104514,-0.3589830516065451,536,0.34328358208955223,0.9057808351418575
0.2,2.5,0.5,0.79,7,19,0.0075,-0.4188764007091292,-0.24948542867591894,-0.3387819440664205,463,0.2894168466522678,0.8900841689701284
0.3,3.0,0.5,0.79,8,19,0.005,-0.4199849201969736,-0.2436593026255175,-0.3526512351429122,399,0.23809523809523808,0.8229993467891542
0.2,2.0,0.618,0.79,7,20,0.0075,-0.4242002447000268,-0.25010832325086496,-0.3481838428983237,361,0.3379501385041551,0.8532841665355666
0.1,3.0,0.618,0.79,8,19,0.0075,-0.4258168026828878,-0.235830066225723,-0.3799734729143296,293,0.24914675767918087,0.8541361711937782
0.1,2.5,0.5,0.79,8,20,0.01,-0.4281943582526036,-0.21704911738888166,-0.4222904817274439,480,0.3,0.937923694675847
0.1,2.0,0.618,0.79,7,19,0.0075,-0.431145209364664,-0.25494893022585063,-0.3523925582776267,343,0.33527696793002915,0.8443881453117473
0.2,3.0,0.5,0.79,8,19,0.005,-0.4327257143439474,-0.256201596500532,-0.35304823568683086,406,0.23645320197044334,0.817738559300101
0.2,2.0,0.618,0.79,8,19,0.0075,-0.4332411633778829,-0.25254046347573855,-0.36140139980428865,303,0.33003300330033003,0.8319986118111987
0.1,2.5,0.618,0.79,8,19,0.0075,-0.43394162392566393,-0.24225670988824832,-0.3833698280748312,299,0.2842809364548495,0.8498451571757649
0.2,3.0,0.5,0.79,8,20,0.005,-0.4347103176047127,-0.25821801892557716,-0.35298459735827104,439,0.23917995444191345,0.8336129582889633
0.3,2.0,0.618,0.79,7,20,0.0075,-0.43593214618041903,-0.25856649335086446,-0.35473130565910915,349,0.335243553008596,0.8455544572566509
0.3,2.0,0.5,0.79,8,19,0.0075,-0.4365866524200932,-0.2585343992758776,-0.35610450628843116,467,0.3361884368308351,0.8818957890116689
0.2,2.0,0.5,0.79,8,20,0.0075,-0.437776277778558,-0.2521146835259922,-0.3713231885051316,525,0.34095238095238095,0.8968812069438875
0.3,3.0,0.5,0.79,7,20,0.005,-0.4429199405619402,-0.2713211114755796,-0.3431976581727212,450,0.23777777777777778,0.8246626714809951
0.3,2.0,0.5,0.79,8,20,0.01,-0.4453537197449424,-0.2348073764512525,-0.42109268658737986,508,0.3484251968503937,0.925175707852729
0.3,2.0,0.5,0.79,7,19,0.0075,-0.4457369058132525,-0.25442008217594014,-0.3826336472746247,505,0.33861386138613864,0.8883399896886498
0.2,2.0,0.5,0.79,7,20,0.0075,-0.4460222581132842,-0.2474454092760512,-0.39715369767446607,563,0.3428063943161634,0.9013039161175342
0.3,2.0,0.618,0.79,8,19,0.0075,-0.4481949135458848,-0.2632931015007467,-0.36980362409027623,294,0.32653061224489793,0.821380503773537
0.2,2.0,0.618,0.79,7,19,0.0075,-0.45092590628033274,-0.26873758542581083,-0.3643766417090438,335,0.33134328358208953,0.8324190201509435
0.1,3.0,0.618,0.79,8,20,0.0075,-0.45251620988098834,-0.2518076142507628,-0.40141719126045106,313,0.24920127795527156,0.8559434801031485
0.3,3.0,0.5,0.79,7,19,0.005,-0.45430921677957026,-0.27760890067552946,-0.3534006322080816,419,0.23389021479713604,0.8028466317242978
0.3,2.0,0.5,0.79,7,20,0.01,-0.45571321480400134,-0.22960468890131325,-0.4522170518053762,546,0.3498168498168498,0.9284400193055838
0.1,2.5,0.618,0.79,7,20,0.0075,-0.45990054082879517,-0.2665935435883795,-0.38661399448083134,352,0.2869318181818182,0.856419731872704
