min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.6,0.65,0.2,mid,6,3.5,4.5,-0.02155392125138489,0.0027838461499585243,-0.048675534802686826,32,0.21875,1.0199797423495365
0.25,0.6,0.65,0.2,mid,6,3.5,4.0,-0.02155392125138489,0.0027838461499585243,-0.048675534802686826,32,0.21875,1.0199797423495365
0.25,0.6,0.65,0.2,mid,6,3.0,4.5,-0.02155392125138489,0.0027838461499585243,-0.048675534802686826,32,0.21875,1.0199797423495365
0.25,0.6,0.65,0.2,mid,6,3.0,4.0,-0.02155392125138489,0.0027838461499585243,-0.048675534802686826,32,0.21875,1.0199797423495365
0.3,0.6,0.65,0.2,edge,8,3.5,4.0,-0.022444183651075866,0.0016905654499745904,-0.04826949820210091,14,0.21428571428571427,1.0307962119086245
0.3,0.6,0.65,0.2,edge,8,3.5,4.5,-0.022444183651075866,0.0016905654499745904,-0.04826949820210091,14,0.21428571428571427,1.0307962119086245
0.25,0.6,0.65,0.25,mid,6,3.5,4.0,-0.022784805829787147,0.0014269767499519581,-0.04842356515947821,32,0.21875,1.0102661145736642
0.25,0.6,0.65,0.25,mid,6,3.5,4.5,-0.022784805829787147,0.0014269767499519581,-0.04842356515947821,32,0.21875,1.0102661145736642
0.25,0.6,0.65,0.25,mid,6,3.0,4.0,-0.022784805829787147,0.0014269767499519581,-0.04842356515947821,32,0.21875,1.0102661145736642
0.25,0.6,0.65,0.25,mid,6,3.0,4.5,-0.022784805829787147,0.0014269767499519581,-0.04842356515947821,32,0.21875,1.0102661145736642
0.3,0.6,0.65,0.25,edge,8,3.5,4.5,-0.023207906404648704,0.0006448989499718838,-0.047705610709241175,14,0.21428571428571427,1.0117739810872626
0.3,0.6,0.65,0.25,edge,8,3.5,4.0,-0.023207906404648704,0.0006448989499718838,-0.047705610709241175,14,0.21428571428571427,1.0117739810872626
0.3,0.6,0.65,0.2,edge,8,3.0,4.0,-0.028566904001080362,-0.004432154900029905,-0.04826949820210091,15,0.2,0.9269493241796289
0.3,0.6,0.65,0.2,edge,8,3.0,4.5,-0.028566904001080362,-0.004432154900029905,-0.04826949820210091,15,0.2,0.9269493241796289
